EFAX,2020-10-23 20:00:00,69.57,69.6006,69.6006,69.245,17459
XENT,2020-10-23 20:00:00,16,16.12,16.3599,15.81,90772
BHI,2017-07-03 20:00:00,55,57.68,57.73,54.57,4124712.0
JCS,2020-10-23 20:00:00,3.98,4.09,4.13,3.98,15889
SYY,2020-10-23 20:00:00,65.62,64.8,65.73,63.766,3373396.0
CIG,2020-10-23 20:00:00,2.03,1.99,2.03,1.98,2479895.0
GVAL,2020-10-23 20:00:00,17.13,17.22,17.27,17.078,22107
TACT,2020-10-23 20:00:00,7.01,7.15,7.15,7.01,21253
QUS,2020-10-23 20:00:00,97.38,97.28,97.38,96.82,25683
JEC,2019-12-09 21:00:00,84.79,85.84,85.85,84.6,1002584.0
SCHM,2020-10-23 20:00:00,59.4368,59.54,59.5489,58.9701,156644
DFEN,2020-10-23 20:00:00,11.57,11.63,11.76,11.41,2047494.0
PKB,2020-10-23 20:00:00,38.15,38.33,38.38,37.74,19594
IVAC,2020-10-23 20:00:00,5.98,5.84,5.98,5.78,24282
UUUU,2020-10-23 20:00:00,1.68,1.61,1.68,1.6,812436
ANGO,2020-10-23 20:00:00,11,11.07,11.16,10.72,152278
CCC,2020-10-23 20:00:00,29.87,29.28,29.93,28.95,1793939.0
NBTB,2020-10-23 20:00:00,29.18,29.17,29.66,28.96,59639
HBNC,2020-10-23 20:00:00,12.59,12.66,12.72,12.4,66663
TUSA,2020-10-23 20:00:00,35.47,35.47,35.47,35.47,587
SNDR,2020-10-23 20:00:00,23.86,24.03,24.1958,23.55,1297215.0
TTS,2019-11-08 21:00:00,1.66,1.46,1.69,1.43,7844942.0
MHM,2015-07-30 20:00:00,14.82,14.82,14.82,14.82,4714
PNTA,2017-05-25 20:00:00,25.49,25.49,25.49,25.4698,1133
SIXD,2015-10-28 20:00:00,2.9,2.9,2.9,2.88,2000
SPPP,2020-10-23 20:00:00,16.63,16.5,16.63,16.36,22450
CONN,2020-10-23 20:00:00,11.24,11.37,11.44,11.07,197867
GENE,2020-10-23 20:00:00,3.39,3.35,3.4343,3.31,232296
PCTI,2020-10-23 20:00:00,5.56,5.44,5.56,5.42,58201
MMIN,2020-10-23 20:00:00,27.0399,27.03,27.05,27.023,45427
SGMA,2020-10-23 20:00:00,3.47,3.51,3.6,3.45,36637
GMRE,2020-10-23 20:00:00,13.5,13.49,13.62,13.42,335304
ALNA,2020-10-23 20:00:00,1.43,1.39,1.43,1.3863,223993
DWCH,2018-12-12 21:00:00,13.09,13.1,13.1,13.0832,104168
CCA,2019-09-11 20:00:00,12.81,12.82,12.85,12.809,15524
GSAT,2020-10-23 20:00:00,0.3133,0.312,0.317,0.3052,1073956.0
PWB,2020-10-23 20:00:00,63.38,63.25,63.38,62.8201,33615
PXI,2020-10-23 20:00:00,13.59,13.34,13.59,13.33,7529
SPI,2020-10-23 20:00:00,7.9,8.29,8.45,7.77,1098565.0
PHG,2020-10-23 20:00:00,50.02,50.1,50.17,49.75,2545210.0
WBID,2019-10-25 20:00:00,19.67,19.6674,19.69,19.6674,1133
C,2020-10-23 20:00:00,44.21,43.95,44.57,43.665,36154923.0
COMG,2019-11-15 21:00:00,21.69,21.8069,21.83,21.68,1352
KEY,2020-10-23 20:00:00,13.24,13.45,13.49,13.14,18225227.0
BAL,2020-10-23 20:00:00,42.25,42.05,42.35,42.05,3396
SFNC,2020-10-23 20:00:00,18,17.76,18.5,17.51,549035
RIGS,2020-10-23 20:00:00,24.77,24.705,24.778,24.669,8030
DJCO,2020-10-23 20:00:00,280.52,275.01,280.53,275.01,1288
PVG,2020-10-23 20:00:00,12.61,12.52,12.63,12.405,1429424.0
TW,2020-10-23 20:00:00,61.15,60.48,61.16,60.0101,412453
JMG,2016-04-08 20:00:00,12,12.01,12.01,11.99,352891
AGIO,2020-10-23 20:00:00,38.87,38.04,39.15,37.42,714911
USAP,2020-10-23 20:00:00,5.57,5.74,6.04,5.55,32923
IVFGC,2018-05-04 20:00:00,100.02,100.02,100.02,100.02,100
